CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CTPR,OCCP_GRP_1,TOTALPREM,WEDD_YN,MATE_OCCP_GRP_1,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,CUST_INCM,RCBASE_HSHD_INCM,JPBASE_HSHD_INCM
44,1,N,2,6,9861,20.0,N,대전,주부,22399454.0,Y,사무직,1.0,3.0,285722.0,0.0,4365,4326.0
45,1,N,2,5,10555,20.0,N,경기,서비스,59479946.0,Y,제조업,2.0,2.0,1153370.0,3706.0,5556,5520.0
46,1,N,2,6,6666,20.0,N,전북,서비스,46508529.0,Y,서비스,0.0,0.0,250850.0,3881.65,3745,3953.0
47,1,N,2,4,10441,99.0,Y,경기,주부,25637391.0,Y,기타,3.0,1.0,559850.0,0.0,0,3175.0
48,1,N,2,4,20416,20.0,Y,경기,자영업,58480871.0,Y,사무직,4.0,1.0,587716.0,3657.0,5392,8201.0
49,1,N,2,5,15015,11.0,N,경기,주부,168252203.0,Y,전문직,0.0,0.0,1055621.0,0.0,5867,5799.0
50,1,N,2,6,9189,99.0,N,인천,주부,89310615.0,Y,1차산업,1.0,3.0,1442900.0,0.0,0,0.0
51,2,,2,4,26250,20.0,Y,대구,자영업,162758082.0,Y,사무직,1.0,2.0,2099765.0,4798.0,9717,10710.0
52,1,N,1,5,26944,20.0,N,인천,서비스,8355309.0,Y,주부,2.0,2.0,42000.0,5755.0,7136,10026.0
53,1,N,1,7,12222,20.0,N,서울,기타,29793646.0,N,n,0.0,0.0,752813.0,0.0,1534,1534.0
54,1,Y,2,5,5833,20.0,Y,전남,주부,4670372.0,Y,n,1.0,2.0,38900.0,0.0,5126,5141.0
55,1,N,2,5,4027,30.0,Y,경남,자영업,41070351.0,Y,n,1.0,2.0,986841.0,3953.0,5006,3953.0
56,1,Y,2,5,7271,11.0,N,광주,자영업,136720853.0,Y,자영업,0.0,0.0,1242454.0,4911.0,5408,5677.0
57,1,N,2,4,0,20.0,Y,경기,제조업,88277470.0,Y,제조업,2.0,2.0,1034374.0,3314.0,0,7988.0
58,1,N,2,7,25833,20.0,N,부산,주부,5958728.0,N,n,0.0,0.0,39667.0,0.0,2619,2621.0
59,1,N,2,4,14542,99.0,N,서울,서비스,40099583.0,N,n,0.0,0.0,472900.0,3949.0,0,3949.0
60,2,,1,5,6707,12.0,N,경기,사무직,13323745.0,N,n,0.0,0.0,197750.0,5126.0,5406,5126.0
61,1,N,1,3,8888,20.0,N,경기,제조업,15475047.0,N,n,0.0,0.0,175630.0,4208.0,3478,4208.0
62,1,N,1,4,19444,20.0,N,경기,사무직,21350056.0,Y,자영업,2.0,1.0,239345.0,5000.0,6152,10951.0
63,1,Y,2,5,12326,12.0,Y,부산,기타,33991326.0,Y,사무직,4.0,2.0,293493.0,2984.0,6122,8145.0
64,1,N,2,6,50972,20.0,N,서울,자영업,133381160.0,Y,자영업,1.0,3.0,1564160.0,5616.0,0,5754.0
65,2,,1,4,1603,13.0,N,경북,제조업,5858640.0,Y,주부,3.0,1.0,49150.0,3660.0,4900,3660.0
66,1,Y,2,4,13333,20.0,N,광주,서비스,12386724.0,Y,사무직,3.0,1.0,371950.0,3187.0,3955,7527.0
67,1,N,2,4,0,20.0,N,경남,전문직,117113523.0,Y,자영업,2.0,1.0,3490955.0,5512.0,0,10700.0
68,1,N,2,4,30000,20.0,N,경기,제조업,102701437.0,Y,사무직,2.0,1.0,1507852.0,4159.0,7652,9615.0
69,1,N,2,5,6291,12.0,N,인천,자영업,116980784.0,Y,제조업,2.0,2.0,3132250.0,6034.0,5340,11319.0
70,1,N,1,6,3638,11.0,N,전북,자영업,80557731.0,Y,자영업,3.0,2.0,631970.0,4813.8378378378375,3491,4268.0
71,1,N,2,5,0,20.0,N,부산,서비스,25394528.0,Y,서비스,1.0,2.0,334716.0,3305.0,0,7094.0
72,1,N,2,6,8055,20.0,N,경남,주부,29579013.0,Y,서비스,0.0,0.0,222503.0,0.0,5559,5512.0
73,2,,2,4,6250,30.0,N,인천,서비스,91802397.0,Y,제조업,2.0,2.0,799231.0,4279.0,4921,8695.0
74,1,N,2,4,9305,20.0,N,경기,주부,11726715.0,Y,사무직,1.0,1.0,91580.0,0.0,3962,4211.0
75,1,N,2,5,7092,12.0,N,부산,자영업,35031840.0,Y,제조업,0.0,0.0,255155.0,4351.0,5472,8065.0
76,1,N,1,5,9861,30.0,N,인천,서비스,26886714.0,Y,주부,3.0,2.0,511900.0,4096.0,5969,4096.0
77,1,N,2,5,2704,13.0,N,부산,서비스,25697202.0,N,n,0.0,0.0,327397.0,3458.0,4731,3458.0
78,1,N,2,5,8611,20.0,N,충북,전문직,20066022.0,Y,사무직,2.0,2.0,388682.0,4749.0,5867,10022.0
79,1,Y,2,5,11409,99.0,N,인천,주부,19310189.0,Y,전문직,2.0,3.0,166601.0,0.0,0,5079.0
80,1,N,2,6,4722,30.0,N,강원,기타,25848033.0,Y,제조업,0.0,0.0,217670.0,3190.0967741935483,2666,2657.0
81,1,N,2,5,10277,20.0,N,서울,주부,19065255.0,Y,자영업,1.0,1.0,127770.0,0.0,4700,4895.0
82,1,N,2,5,2196,13.0,Y,경남,주부,22807201.0,Y,n,2.0,2.0,617900.0,0.0,4694,4694.0
83,1,N,2,6,0,11.0,N,전남,기타,117742024.0,Y,기타,0.0,0.0,1013719.0,3190.0967741935483,0,3545.0
84,1,N,2,6,5689,99.0,Y,광주,주부,38544420.0,N,n,0.0,0.0,473969.0,0.0,0,0.0
85,1,N,2,5,28888,20.0,Y,서울,주부,23891047.0,Y,전문직,2.0,2.0,437600.0,0.0,7466,7328.0
86,1,Y,2,4,14456,99.0,N,경기,n,17839198.0,N,n,0.0,0.0,292186.0,4204.710526315789,0,0.0
87,1,N,2,5,8601,11.0,N,제주,서비스,57382549.0,Y,1차산업,0.0,0.0,979025.0,3565.0,5340,7271.0
88,1,N,2,7,5281,11.0,Y,경북,기타,11233163.0,N,n,0.0,0.0,95249.0,0.0,2866,2842.0
89,1,N,2,6,7338,12.0,Y,경기,사무직,14150907.0,Y,서비스,0.0,0.0,27640.0,5403.133333333333,1908,2463.0
90,1,N,2,6,2167,12.0,Y,광주,자영업,265780511.0,N,n,0.0,0.0,1218829.0,4813.8378378378375,2740,2723.0
91,1,N,2,6,21250,30.0,Y,서울,주부,27594184.0,Y,사무직,0.0,0.0,44470.0,0.0,2572,3186.0
92,1,Y,2,6,2842,12.0,Y,충북,주부,106661466.0,N,n,0.0,0.0,2723795.0,0.0,2714,2705.0
93,1,N,2,6,7777,20.0,Y,전북,서비스,38454466.0,Y,사무직,1.0,3.0,1230326.0,3881.65,2583,2583.0
94,1,N,2,6,3949,12.0,Y,서울,주부,50756594.0,N,n,0.0,0.0,387900.0,0.0,3527,3501.0
95,1,N,2,6,6666,20.0,Y,경북,기타,26667196.0,Y,전문직,0.0,0.0,505368.0,3190.0967741935483,3567,3771.0
96,1,N,2,6,8611,20.0,Y,경기,자영업,205180448.0,Y,서비스,1.0,2.0,1752530.0,4813.8378378378375,3323,0.0
98,1,N,2,6,0,20.0,Y,인천,주부,49923496.0,Y,기타,0.0,0.0,400000.0,0.0,0,8684.0
99,1,N,2,6,1589,11.0,Y,전남,주부,199009356.0,N,n,0.0,0.0,1368844.0,0.0,3247,3226.0
100,1,N,2,6,4081,13.0,N,경기,자영업,18707651.0,Y,자영업,0.0,0.0,88830.0,4813.8378378378375,3354,4689.0
101,2,,2,6,16944,20.0,Y,울산,주부,22797444.0,N,n,0.0,0.0,156640.0,0.0,8165,7905.0
102,1,N,2,6,8750,20.0,Y,서울,기타,175567836.0,Y,서비스,0.0,0.0,1458131.0,3190.0967741935483,3067,2941.0
103,1,N,2,6,32222,20.0,Y,경북,서비스,36743778.0,N,n,0.0,0.0,343200.0,3881.65,10768,10542.0
104,1,N,2,6,7778,12.0,Y,인천,제조업,44543318.0,Y,제조업,1.0,3.0,357780.0,4322.930232558139,0,0.0
105,1,N,2,6,17222,20.0,Y,인천,주부,34918955.0,Y,제조업,1.0,3.0,225144.0,0.0,6420,6420.0
106,2,,2,6,9305,30.0,Y,경기,서비스,78031083.0,Y,서비스,2.0,2.0,1509326.0,3881.65,4532,6662.0
107,1,Y,2,6,23617,11.0,Y,경기,주부,1762800.0,N,n,0.0,0.0,144300.0,0.0,6352,5904.0
108,1,N,2,6,0,20.0,N,충남,전문직,226268870.0,N,n,0.0,0.0,2238280.0,5660.0,0,5660.0
109,1,N,2,6,88333,20.0,Y,인천,주부,14727510.0,Y,n,1.0,2.0,59700.0,0.0,12904,12949.0
110,1,N,2,6,7683,11.0,Y,경북,주부,66700377.0,Y,제조업,1.0,3.0,515322.0,0.0,4950,4857.0
111,1,N,2,5,6441,40.0,Y,경북,자영업,268123695.0,Y,기타,2.0,3.0,2027760.0,5177.0,4849,5177.0
112,1,N,2,5,11944,30.0,N,경기,주부,21037203.0,Y,사무직,1.0,3.0,663302.0,0.0,4750,4750.0
113,1,N,2,5,2263,99.0,Y,전남,주부,71465789.0,Y,1차산업,2.0,3.0,642180.0,0.0,0,0.0
114,1,N,2,5,10177,11.0,Y,광주,전문직,10225187.0,Y,기타,0.0,0.0,43300.0,3706.0,5676,5738.0
115,1,N,2,5,4816,12.0,Y,제주,주부,35507360.0,Y,1차산업,2.0,3.0,445205.0,0.0,4532,4073.0
116,2,,2,5,10710,11.0,Y,대구,서비스,15678001.0,Y,기타,2.0,2.0,421977.0,3056.0,5790,5786.0
117,1,N,2,5,16111,20.0,Y,경기,전문직,105557022.0,Y,자영업,2.0,2.0,566162.0,4370.0,6341,6400.0
118,1,N,2,5,8832,12.0,Y,경기,서비스,59729609.0,Y,n,2.0,2.0,536800.0,3382.0,5402,3382.0
119,1,N,2,5,6944,30.0,Y,경기,전문직,13173202.0,N,n,0.0,0.0,445650.0,3598.0,4831,3598.0
120,1,N,2,5,6805,20.0,Y,전남,주부,84866703.0,Y,사무직,2.0,3.0,582000.0,0.0,4880,4069.0
121,1,N,2,5,10277,30.0,Y,서울,자영업,78923648.0,Y,자영업,1.0,3.0,988817.0,5009.0,5391,5565.0
122,1,N,2,5,8968,40.0,Y,경기,서비스,50143022.0,Y,서비스,2.0,3.0,158500.0,3470.0,5154,7814.0
123,2,,2,5,9722,20.0,Y,경남,주부,29727858.0,Y,사무직,3.0,2.0,327035.0,0.0,6672,4384.0
124,1,N,2,5,23888,20.0,Y,부산,주부,25681232.0,Y,제조업,2.0,3.0,370228.0,0.0,9147,5252.0
125,2,,2,5,2029,13.0,Y,강원,주부,47081790.0,Y,사무직,2.0,3.0,1072410.0,0.0,4427,4089.0
126,1,Y,2,5,15416,20.0,Y,경남,서비스,11433036.0,Y,n,2.0,2.0,248708.0,3487.0,7882,3487.0
127,1,N,2,5,4544,13.0,Y,대구,주부,130538208.0,Y,서비스,2.0,2.0,1447443.0,0.0,5066,4212.0
128,1,N,2,5,4027,30.0,Y,경기,자영업,50502716.0,Y,n,2.0,3.0,1396143.0,5924.0,5063,5924.0
129,1,N,2,5,28586,12.0,Y,경기,기타,33299259.0,Y,사무직,2.0,2.0,599400.0,4117.0,0,9989.0
130,1,N,2,5,0,20.0,Y,경기,n,7464000.0,N,n,0.0,0.0,368100.0,4627.3,0,0.0
131,1,N,2,5,5972,30.0,Y,제주,1차산업,300330990.0,Y,1차산업,3.0,2.0,4852651.0,5667.0,5895,9967.0
132,1,N,2,5,28888,20.0,Y,경기,서비스,235492914.0,Y,제조업,1.0,3.0,1894930.0,3901.0,10341,10368.0
133,1,N,2,5,7500,30.0,Y,경기,주부,61460135.0,Y,전문직,0.0,0.0,880704.0,0.0,5254,4741.0
134,1,N,2,5,11615,40.0,Y,대구,서비스,102824796.0,Y,제조업,1.0,2.0,940064.0,3242.0,6580,6819.0
135,1,N,2,5,8874,12.0,Y,경기,전문직,102641830.0,Y,자영업,2.0,2.0,998096.0,3225.0,5553,7985.0
136,1,N,2,5,11527,20.0,Y,강원,전문직,21165546.0,Y,사무직,2.0,2.0,148790.0,3608.0,0,8427.0
137,2,,1,5,14305,20.0,N,경기,서비스,19713877.0,Y,서비스,2.0,2.0,100000.0,4778.0,4542,8654.0
138,1,N,2,5,28055,20.0,Y,서울,자영업,27045096.0,Y,사무직,2.0,2.0,681958.0,4938.0,8400,10952.0
139,2,,1,5,17222,30.0,N,서울,서비스,22220540.0,N,n,0.0,0.0,1000000.0,5047.0,6646,5047.0
140,1,N,2,4,11111,30.0,Y,경기,자영업,32069499.0,Y,제조업,2.0,2.0,344600.0,4326.0,6436,8283.0
141,1,N,2,4,6527,30.0,Y,부산,서비스,86245013.0,Y,제조업,2.0,1.0,977399.0,5341.0,3300,9845.0
142,1,Y,2,4,13333,20.0,Y,경기,주부,37909281.0,Y,서비스,2.0,2.0,156639.0,0.0,6324,4350.0
143,1,N,2,4,10833,30.0,Y,서울,자영업,460688668.0,Y,서비스,2.0,1.0,2206722.0,4952.0,5588,8924.0
144,1,N,2,4,29305,20.0,Y,경기,사무직,21557368.0,Y,자영업,2.0,2.0,194500.0,4389.0,6610,10217.0
145,1,Y,2,4,16856,40.0,Y,서울,자영업,140698549.0,Y,사무직,3.0,2.0,1230875.0,5302.0,6850,10550.0
146,1,N,2,4,11111,20.0,Y,전북,주부,35589899.0,Y,기타,2.0,2.0,546899.0,0.0,4572,4690.0
147,1,N,2,4,10920,99.0,Y,경기,자영업,104219725.0,Y,n,1.0,1.0,1099100.0,3713.0,0,3713.0
148,1,N,2,4,2880,13.0,Y,경기,서비스,5734154.0,Y,전문직,2.0,2.0,475324.0,2721.0,2993,6997.0
149,1,N,2,4,13141,20.0,Y,울산,주부,2567269.0,N,n,0.0,0.0,207358.0,0.0,4111,0.0
151,1,N,2,4,14305,30.0,Y,서울,주부,43077725.0,Y,전문직,1.0,2.0,621372.0,0.0,6476,4621.0
152,1,N,2,4,53888,20.0,N,경기,사무직,17750399.0,N,n,0.0,0.0,350000.0,5006.0,10995,5006.0
153,1,N,2,4,0,20.0,Y,전남,주부,22452762.0,Y,기타,1.0,0.0,392665.0,0.0,0,4269.0
154,1,N,2,4,14027,20.0,Y,강원,주부,110700.0,Y,전문직,0.0,0.0,42100.0,0.0,0,3219.0
155,1,N,2,4,14166,30.0,Y,경기,자영업,43574820.0,Y,사무직,1.0,1.0,540864.0,3620.0,4918,8500.0
156,1,N,1,4,7638,20.0,N,전북,서비스,37064921.0,N,n,0.0,0.0,329500.0,4836.0,4018,4836.0
157,1,N,1,5,8208,99.0,N,대구,전문직,54980259.0,Y,전문직,2.0,2.0,544392.0,4877.0,0,7902.0
158,1,N,2,4,15277,20.0,N,대구,자영업,115052286.0,Y,자영업,2.0,2.0,1085834.0,4981.0,4163,9509.0
159,1,N,2,5,7603,11.0,N,경기,서비스,11799054.0,Y,자영업,2.0,2.0,100000.0,4002.0,5423,9161.0
160,1,N,2,4,4027,30.0,N,부산,주부,5796710.0,N,n,0.0,0.0,29800.0,0.0,0,0.0
161,2,,1,5,2638,20.0,N,전남,제조업,30103010.0,Y,주부,1.0,1.0,1204700.0,4992.0,4568,4992.0
162,1,Y,2,6,7623,12.0,N,서울,주부,8859190.0,Y,자영업,0.0,0.0,53530.0,0.0,4597,4549.0
163,1,N,1,4,12916,20.0,N,부산,제조업,26548407.0,Y,주부,2.0,2.0,155700.0,4812.0,4843,4812.0
164,1,N,2,4,2476,11.0,N,경남,주부,55237237.0,Y,제조업,2.0,2.0,771994.0,0.0,4946,3476.0
165,1,N,2,6,6666,30.0,N,부산,서비스,44599570.0,Y,제조업,0.0,0.0,277939.0,3881.65,2849,3010.0
166,1,N,2,5,19861,20.0,N,충북,전문직,105409406.0,Y,전문직,2.0,2.0,507309.0,5210.0,10074,10378.0
167,1,N,1,6,18308,40.0,N,서울,자영업,168846676.0,Y,서비스,2.0,3.0,217200.0,4813.8378378378375,3363,0.0
168,1,N,2,5,4609,12.0,N,충북,주부,0.0,N,n,0.0,0.0,161200.0,0.0,4959,4971.0
169,1,N,1,6,19444,20.0,N,광주,1차산업,12372648.0,Y,주부,1.0,3.0,248942.0,4147.0,5107,7163.0
205,1,N,2,8,55555,20.0,N,경기,n,1729850.0,N,n,0.0,0.0,14500.0,0.0,7127,0.0
206,1,N,1,8,11818,40.0,N,전북,자영업,27594800.0,Y,주부,0.0,0.0,316450.0,0.0,1516,1545.0
207,1,N,2,8,9055,99.0,N,경북,자영업,1700876.0,N,n,0.0,0.0,28400.0,0.0,0,0.0
208,1,N,2,8,1966,13.0,N,전북,주부,1659104.0,N,n,0.0,0.0,13900.0,0.0,1279,1268.0
210,1,N,2,8,18098,11.0,N,경북,기타,6095040.0,N,n,0.0,0.0,50792.0,0.0,0,0.0
211,1,N,1,8,3946,40.0,N,경기,n,3523480.0,N,n,0.0,0.0,29500.0,0.0,1402,0.0
212,1,N,2,8,9444,30.0,N,경기,n,5622009.0,N,n,0.0,0.0,13900.0,0.0,1365,0.0
213,1,N,2,7,15000,30.0,N,경기,기타,38706064.0,Y,기타,0.0,0.0,111085.0,0.0,1630,1666.0
214,1,N,2,7,0,20.0,N,경기,n,1789500.0,N,n,0.0,0.0,15000.0,0.0,0,0.0
216,1,N,2,7,11776,99.0,N,부산,주부,24858168.0,N,n,0.0,0.0,13158.0,0.0,0,0.0
217,1,N,2,7,3360,30.0,N,경기,n,1295500.0,N,n,0.0,0.0,21592.0,0.0,1253,0.0
218,1,N,2,7,3711,12.0,N,인천,기타,20741427.0,N,n,0.0,0.0,324900.0,0.0,1497,1488.0
219,1,N,1,7,4077,40.0,N,충북,기타,18544722.0,Y,주부,0.0,0.0,50050.0,0.0,1514,1625.0
220,1,N,2,7,2451,13.0,N,경남,기타,15098742.0,N,n,0.0,0.0,102648.0,0.0,1478,1477.0
221,1,N,2,7,10833,20.0,N,경남,주부,12251817.0,N,n,0.0,0.0,109759.0,0.0,1744,1744.0
222,1,N,2,7,31666,20.0,N,경기,주부,13657262.0,N,n,0.0,0.0,88100.0,0.0,3468,3468.0
224,1,N,2,7,19777,11.0,N,경기,1차산업,5532600.0,Y,1차산업,0.0,0.0,333800.0,0.0,1970,0.0
227,1,N,1,7,22777,20.0,N,인천,기타,6906630.0,N,n,0.0,0.0,57960.0,0.0,3393,3572.0
228,1,N,2,7,12083,20.0,N,경기,기타,27800.0,N,n,0.0,0.0,61550.0,0.0,1781,1858.0
229,1,N,1,7,0,20.0,N,서울,제조업,2413963.0,Y,주부,0.0,0.0,20250.0,0.0,0,0.0
231,1,N,1,7,17777,20.0,N,경기,서비스,11716083.0,N,n,0.0,0.0,98100.0,0.0,1985,2036.0
234,1,N,1,7,5237,11.0,N,전북,1차산업,2782353.0,Y,주부,0.0,0.0,379650.0,0.0,1705,2260.0
235,1,N,2,7,19958,30.0,N,서울,자영업,70950316.0,Y,자영업,0.0,0.0,1006802.0,0.0,2372,6145.0
236,1,N,1,7,9027,30.0,N,경기,자영업,28590633.0,N,n,0.0,0.0,541372.0,0.0,1647,1634.0
237,1,N,2,7,4225,13.0,N,서울,기타,380727549.0,Y,자영업,0.0,0.0,1094378.0,0.0,1375,1558.0
238,1,N,2,7,8634,12.0,N,경기,n,15333003.0,N,n,0.0,0.0,128500.0,0.0,1520,0.0
239,2,,2,7,9444,20.0,N,광주,주부,5088559.0,N,n,0.0,0.0,42700.0,0.0,1854,1818.0
241,2,,2,7,1935,12.0,N,부산,주부,6390592.0,N,n,0.0,0.0,83200.0,0.0,1428,1422.0
242,1,N,2,7,4179,13.0,N,경기,기타,32231742.0,N,n,0.0,0.0,419474.0,0.0,1588,1571.0
244,1,N,2,7,29027,20.0,N,경기,주부,7246366.0,N,n,0.0,0.0,60700.0,0.0,3255,3255.0
245,1,N,2,7,9041,11.0,N,전북,주부,11607092.0,Y,사무직,0.0,0.0,57150.0,0.0,1937,1973.0
246,1,N,2,7,3775,99.0,N,강원,주부,25392000.0,Y,사무직,0.0,0.0,311600.0,0.0,0,0.0
247,1,N,2,7,1884,11.0,N,경북,기타,2939900.0,Y,기타,0.0,0.0,32800.0,0.0,1585,1626.0
248,1,N,2,7,801,11.0,N,전남,기타,20431452.0,N,n,0.0,0.0,48929.0,0.0,1580,1573.0
249,1,N,2,7,8407,11.0,N,부산,주부,8555040.0,Y,서비스,0.0,0.0,39000.0,0.0,1823,1817.0
250,1,N,2,7,46685,20.0,N,서울,기타,9308180.0,Y,n,0.0,0.0,58800.0,0.0,0,1546.0
251,1,N,1,7,13611,20.0,N,경북,제조업,19289670.0,Y,n,0.0,0.0,115750.0,0.0,2465,3708.0
252,2,,2,7,26189,11.0,N,인천,주부,53325233.0,Y,기타,0.0,0.0,400000.0,0.0,2267,2245.0
253,1,N,1,7,6944,20.0,N,전남,1차산업,23622461.0,Y,주부,0.0,0.0,457183.0,0.0,1759,1918.0
254,1,N,2,7,8264,11.0,N,전북,주부,3276000.0,N,n,0.0,0.0,27300.0,0.0,1997,1984.0
255,1,N,1,7,22465,11.0,N,경기,1차산업,73061476.0,Y,1차산업,0.0,0.0,566360.0,0.0,2214,3866.0
256,1,N,2,7,1772,12.0,N,충남,주부,8160840.0,Y,사무직,0.0,0.0,48450.0,0.0,1680,1730.0
257,1,Y,2,7,2220,12.0,N,부산,기타,22594317.0,N,n,0.0,0.0,64650.0,0.0,1607,2666.0
258,1,N,2,7,7109,11.0,N,전북,주부,29736086.0,Y,기타,0.0,0.0,52695.0,0.0,1941,1833.0
259,1,N,1,7,18317,30.0,N,서울,기타,129026626.0,Y,주부,0.0,0.0,1000130.0,0.0,2441,5273.0
260,1,N,2,7,50000,12.0,N,경기,주부,15402840.0,N,n,0.0,0.0,479100.0,0.0,3408,3408.0
263,1,N,2,7,1721,11.0,N,전남,주부,20121584.0,N,n,0.0,0.0,322100.0,0.0,1730,1730.0
264,1,N,1,7,29305,20.0,N,경기,n,37166250.0,N,n,0.0,0.0,300000.0,0.0,0,0.0
265,1,N,2,7,10746,40.0,N,대구,자영업,15614280.0,N,n,0.0,0.0,128900.0,0.0,3269,3155.0
266,1,N,2,7,6084,11.0,N,전북,주부,38655500.0,Y,사무직,0.0,0.0,267850.0,0.0,1942,1928.0
268,1,Y,2,7,21666,20.0,N,경기,자영업,24686700.0,N,n,0.0,0.0,281699.0,0.0,4336,4336.0
